From,To,Value,Stage,Conf_Tier,Team
Power,Elite (NET<60),1,1,Power,Mississippi St.
Elite (NET<60),At-Large (AL),1,2,Power,Mississippi St.
At-Large (AL),Bubble Zone (17-48),1,3,Power,Mississippi St.
Power,Elite (NET<60),1,1,Power,Missouri
Elite (NET<60),At-Large (AL),1,2,Power,Missouri
At-Large (AL),Bubble Zone (17-48),1,3,Power,Missouri
Low-Major,Elite (NET<60),1,1,Low-Major,McNeese
Elite (NET<60),Auto-Qualifier (AQ),1,2,Low-Major,McNeese
Auto-Qualifier (AQ),Low Seeds (49-68),1,3,Low-Major,McNeese
Power,Elite (NET<60),1,1,Power,Arkansas
Elite (NET<60),At-Large (AL),1,2,Power,Arkansas
At-Large (AL),Bubble Zone (17-48),1,3,Power,Arkansas
Mid-Major,Elite (NET<60),1,1,Mid-Major,Drake
Elite (NET<60),Auto-Qualifier (AQ),1,2,Mid-Major,Drake
Auto-Qualifier (AQ),Bubble Zone (17-48),1,3,Mid-Major,Drake
Power,Elite (NET<60),1,1,Power,Duke
Elite (NET<60),Auto-Qualifier (AQ),1,2,Power,Duke
Auto-Qualifier (AQ),Top Seeds (1-16),1,3,Power,Duke
Low-Major,Weak (180+),1,1,Low-Major,American
Weak (180+),Auto-Qualifier (AQ),1,2,Low-Major,American
Auto-Qualifier (AQ),Low Seeds (49-68),1,3,Low-Major,American
Low-Major,Strong (60-120),1,1,Low-Major,UNCW
Strong (60-120),Auto-Qualifier (AQ),1,2,Low-Major,UNCW
Auto-Qualifier (AQ),Low Seeds (49-68),1,3,Low-Major,UNCW
Power,Elite (NET<60),1,1,Power,Maryland
Elite (NET<60),At-Large (AL),1,2,Power,Maryland
At-Large (AL),Top Seeds (1-16),1,3,Power,Maryland
Power,Elite (NET<60),1,1,Power,Marquette
Elite (NET<60),At-Large (AL),1,2,Power,Marquette
At-Large (AL),Bubble Zone (17-48),1,3,Power,Marquette
Power,Elite (NET<60),1,1,Power,Oklahoma
Elite (NET<60),At-Large (AL),1,2,Power,Oklahoma
At-Large (AL),Bubble Zone (17-48),1,3,Power,Oklahoma
Power,Elite (NET<60),1,1,Power,Michigan
Elite (NET<60),Auto-Qualifier (AQ),1,2,Power,Michigan
Auto-Qualifier (AQ),Bubble Zone (17-48),1,3,Power,Michigan
High-Major,Elite (NET<60),1,1,High-Major,VCU
Elite (NET<60),Auto-Qualifier (AQ),1,2,High-Major,VCU
Auto-Qualifier (AQ),Bubble Zone (17-48),1,3,High-Major,VCU
Mid-Major,Strong (60-120),1,1,Mid-Major,Akron
Strong (60-120),Auto-Qualifier (AQ),1,2,Mid-Major,Akron
Auto-Qualifier (AQ),Low Seeds (49-68),1,3,Mid-Major,Akron
Power,Elite (NET<60),1,1,Power,Alabama
Elite (NET<60),At-Large (AL),1,2,Power,Alabama
At-Large (AL),Top Seeds (1-16),1,3,Power,Alabama
Power,Elite (NET<60),1,1,Power,Florida
Elite (NET<60),Auto-Qualifier (AQ),1,2,Power,Florida
Auto-Qualifier (AQ),Top Seeds (1-16),1,3,Power,Florida
High-Major,Elite (NET<60),1,1,High-Major,Colorado St.
Elite (NET<60),Auto-Qualifier (AQ),1,2,High-Major,Colorado St.
Auto-Qualifier (AQ),Bubble Zone (17-48),1,3,High-Major,Colorado St.
Low-Major,Weak (180+),1,1,Low-Major,Saint Francis
Weak (180+),Auto-Qualifier (AQ),1,2,Low-Major,Saint Francis
Auto-Qualifier (AQ),Low Seeds (49-68),1,3,Low-Major,Saint Francis
Power,Elite (NET<60),1,1,Power,Illinois
Elite (NET<60),At-Large (AL),1,2,Power,Illinois
At-Large (AL),Bubble Zone (17-48),1,3,Power,Illinois
High-Major,Elite (NET<60),1,1,High-Major,Gonzaga
Elite (NET<60),Auto-Qualifier (AQ),1,2,High-Major,Gonzaga
Auto-Qualifier (AQ),Bubble Zone (17-48),1,3,High-Major,Gonzaga
Low-Major,Average (120-180),1,1,Low-Major,Bryant
