Team,Conference,Conference_Tier,Latitude,Longitude,City,State,Conf_Avg_NET,Conf_Tournament_Rate,Conf_Tourney_Teams_5yr,Conf_Avg_Tournament_Rate_5yr,Conf_Strength_Score,NET Rank,NET_Rank,Win_Pct,Season,RecordID
Coastal Carolina,Sun Belt,Low-Major,33.7953227,-79.0126785,100,,226.1,0.071,4,0.0804,35.4,229,229,0.5806451612903226,2025-26,2025-26-Coastal Carolina
Washington St.,WCC,Mid-Major,46.7337716,-117.1498035,150,,137.4,0.25,9,0.24100000000000002,60.74,145,145,0.3548387096774194,2025-26,2025-26-Washington St.
Nicholls,Southland,Low-Major,29.788594,-90.8035083,906,,221.2,0.083,3,0.08020000000000001,36.8,250,250,0.40625,2025-26,2025-26-Nicholls
FGCU,ASUN,Low-Major,26.4636478,-81.7747246,10501,,259.9,0.083,4,0.0816,25.74,247,247,0.4375,2025-26,2025-26-FGCU
Eastern Mich.,MAC,Low-Major,42.2522463,-83.6245615,Putnam-Phelps,,200.5,0.154,3,0.05700000000000001,42.71,238,238,0.3,2025-26,2025-26-Eastern Mich.
Florida,SEC,Power,29.6411884,-82.3562296,Southwest 14th Street,,46.4,0.625,34,0.5916,86.74,4,4,0.7878787878787878,2025-26,2025-26-Florida
Tulsa,American,Low-Major,36.1523306,-95.9459602,East 3rd Street South,,160.3,0.077,8,0.1528,54.2,52,52,0.7741935483870968,2025-26,2025-26-Tulsa
Louisville,ACC,Power,38.2133224,-85.7577075,2301,,62.0,0.444,19,0.3154,82.29,16,16,0.696969696969697,2025-26,2025-26-Louisville
North Dakota,Summit League,Low-Major,47.9265412,-97.0721209,Oxbow Court,,238.9,0.111,3,0.0786,31.74,271,271,0.46875,2025-26,2025-26-North Dakota
UTRGV,Southland,Low-Major,26.3071534,-98.1728187,1201,,221.2,0.083,3,0.08020000000000001,36.8,126,126,0.5483870967741935,2025-26,2025-26-UTRGV
UAlbany,America East,Low-Major,42.6867,-73.8257,Albany,NY,310.9,0.111,5,0.13140000000000002,11.17,326,326,0.27586206896551724,2025-26,2025-26-UAlbany
Baylor,Big 12,Power,31.5504341,-97.1102906,1301,,48.9,0.5,25,0.557,86.03,50,50,0.4838709677419355,2025-26,2025-26-Baylor
Montana,Big Sky,Low-Major,46.8541841,-113.9655283,Kim Wiliams Trail,,198.8,0.1,3,0.0708,43.2,194,194,0.5,2025-26,2025-26-Montana
Eastern Wash.,Big Sky,Low-Major,47.4910113,-117.5842545,526,,198.8,0.1,3,0.0708,43.2,204,204,0.40625,2025-26,2025-26-Eastern Wash.
Colorado St.,Mountain West,Mid-Major,40.5706567,-105.0853995,Constitution Avenue,,113.7,0.083,17,0.3812,67.51,87,87,0.625,2025-26,2025-26-Colorado St.
UT Martin,OVC,Low-Major,36.3414523,-88.8642273,Hurt Street,,275.6,0.091,2,0.0422,21.26,205,205,0.6333333333333333,2025-26,2025-26-UT Martin
Xavier,Big East,Power,39.1513078,-84.4708348,Victory Parkway,,67.5,0.273,19,0.487,80.71,97,97,0.45454545454545453,2025-26,2025-26-Xavier
Omaha,Summit League,Low-Major,41.2577933,-96.0104971,University Drive North,,238.9,0.111,3,0.0786,31.74,258,258,0.41379310344827586,2025-26,2025-26-Omaha
Sacred Heart,MAAC,Low-Major,41.2225974,-73.2444673,5151,,262.2,0.077,3,0.075,25.09,293,293,0.40625,2025-26,2025-26-Sacred Heart
Coppin St.,MEAC,Low-Major,39.3110927,-76.6585289,Tioga Parkway,,330.9,0.125,5,0.1414,5.46,363,363,0.2,2025-26,2025-26-Coppin St.
UAB,American,Low-Major,33.5016153,-86.8060476,1720,,160.3,0.077,8,0.1528,54.2,118,118,0.6129032258064516,2025-26,2025-26-UAB
California Baptist,WAC,Low-Major,33.9283239,-117.4259206,8432,,181.4,0.143,2,0.045,48.17,98,98,0.7575757575757576,2025-26,2025-26-California Baptist
New Mexico,Mountain West,Mid-Major,35.0866328,-106.6202094,Buena Vista Drive Northeast,,113.7,0.083,17,0.3812,67.51,46,46,0.6875,2025-26,2025-26-New Mexico
UC Irvine,Big West,Low-Major,33.6429469,-117.8401606,Irvine,,192.0,0.091,1,0.025,45.14,117,117,0.65625,2025-26,2025-26-UC Irvine
Saint Mary's (CA),WCC,Mid-Major,37.8409597,-122.109459,De La Salle Drive,,137.4,0.25,9,0.24100000000000002,60.74,22,22,0.8387096774193549,2025-26,2025-26-Saint Mary's (CA)
Northeastern,CAA,Low-Major,42.3351053,-71.0892579,360,,192.4,0.077,3,0.0756,45.03,286,286,0.22580645161290322,2025-26,2025-26-Northeastern
Tulane,American,Low-Major,29.9412196,-90.1201009,6823,,160.3,0.077,8,0.1528,54.2,207,207,0.53125,2025-26,2025-26-Tulane
Iowa St.,Big 12,Power,42.0279608,-93.6447375,Westwood Drive,,48.9,0.5,25,0.557,86.03,7,7,0.7941176470588235,2025-26,2025-26-Iowa St.
Duke,ACC,Power,36.0001557,-78.9442297,Durham Freeway,,62.0,0.444,19,0.3154,82.29,1,1,0.9411764705882353,2025-26,2025-26-Duke
Rider,MAAC,Low-Major,40.2815513,-74.7404467,Lawrence Road,,262.2,0.077,3,0.075,25.09,357,357,0.10714285714285714,2025-26,2025-26-Rider
Elon,CAA,Low-Major,36.1063398,-79.5027368,Trollinger Avenue,,192.4,0.077,3,0.0756,45.03,223,223,0.4,2025-26,2025-26-Elon
