Team,Conference,Conference_Tier,Latitude,Longitude,City,State,Conf_Avg_NET,Conf_Tournament_Rate,Conf_Tourney_Teams_5yr,Conf_Avg_Tournament_Rate_5yr,Conf_Strength_Score,NET Rank,NET_Rank,Win_Pct,Season,RecordID,Conf_Tier_4,BidRate_Pct,Best_NET_Score,Avg_Q1_Wins,Avg_SOS,Tournament_Bids_2026,Total_Bids_5yr,BidRate_5yr_Pct,Tier_Norm_Strength,Tier_Norm_BidRate,Tier_Norm_Q1Wins,Tier_Norm_BestNET,Tier_Norm_Composite,Composite_Raw,Tier_Rank,Tier_Rank_Score,Tier_Strength_Rank,Strength_Amplified,Strength_Multiplied
Coastal Carolina,Sun Belt,Low-Major,33.7953227,-79.0126785,100,,226.1,0.071,4,0.0804,35.4,229,229,0.5806451612903226,2025-26,2025-26-Coastal Carolina,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Washington St.,WCC,Mid-Major,46.7337716,-117.1498035,150,,137.4,0.25,9,0.241,60.74,145,145,0.3548387096774194,2025-26,2025-26-Washington St.,High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
Nicholls,Southland,Low-Major,29.788594,-90.8035083,906,,221.2,0.083,3,0.0802,36.8,250,250,0.40625,2025-26,2025-26-Nicholls,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
FGCU,ASUN,Low-Major,26.4636478,-81.7747246,10501,,259.9,0.083,4,0.0816,25.74,247,247,0.4375,2025-26,2025-26-FGCU,Low-Major,8.3,53.14,0.0,236.8,1,4,8.16,51.25,12.5,0.0,47.31,30.47,24.09,13,14.29,8,2053.0,2574.0
Eastern Mich.,MAC,Low-Major,42.2522463,-83.6245615,Putnam-Phelps,,200.5,0.154,3,0.057,42.71,238,238,0.3,2025-26,2025-26-Eastern Mich.,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
Florida,SEC,Power,29.6411884,-82.3562296,Southwest 14th Street,,46.4,0.625,34,0.5916,86.74,4,4,0.7878787878787878,2025-26,2025-26-Florida,Power,62.5,98.86,5.25,27.9,10,34,59.16,100.0,100.0,89.24,66.93,100.0,90.7,1,100.0,1,628.0,8674.0
Tulsa,American,Low-Major,36.1523306,-95.9459602,East 3rd Street South,,160.3,0.077,8,0.1528,54.2,52,52,0.7741935483870968,2025-26,2025-26-Tulsa,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Louisville,ACC,Power,38.2133224,-85.7577075,2301,,62.0,0.444,19,0.3154,82.29,16,16,0.696969697,2025-26,2025-26-Louisville,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
North Dakota,Summit League,Low-Major,47.9265412,-97.0721209,Oxbow Court,,238.9,0.111,3,0.0786,31.74,271,271,0.46875,2025-26,2025-26-North Dakota,Low-Major,11.1,70.57,0.0,238.6,1,3,7.86,66.41,70.83,0.0,77.07,81.54,53.49,4,78.57,6,2653.0,3174.0
UTRGV,Southland,Low-Major,26.3071534,-98.1728187,1201,,221.2,0.083,3,0.0802,36.8,126,126,0.5483870967741935,2025-26,2025-26-UTRGV,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
UAlbany,America East,Low-Major,42.6867,-73.8257,Albany,NY,310.9,0.111,5,0.1314,11.17,326,326,0.2758620689655172,2025-26,2025-26-UAlbany,Low-Major,11.1,44.0,0.0,313.4,1,5,13.14,14.43,70.83,0.0,31.71,47.72,34.02,10,35.71,13,596.0,1117.0
Baylor,Big 12,Power,31.5504341,-97.1102906,1301,,48.9,0.5,25,0.557,86.03,50,50,0.4838709677419355,2025-26,2025-26-Baylor,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Montana,Big Sky,Low-Major,46.8541841,-113.9655283,Kim Wiliams Trail,,198.8,0.1,3,0.0708,43.2,194,194,0.5,2025-26,2025-26-Montana,Low-Major,10.0,63.43,0.0,212.4,1,3,7.08,95.38,47.92,0.0,64.88,73.42,48.82,5,71.43,2,3799.0,4320.0
Eastern Wash.,Big Sky,Low-Major,47.4910113,-117.5842545,526,,198.8,0.1,3,0.0708,43.2,204,204,0.40625,2025-26,2025-26-Eastern Wash.,Low-Major,10.0,63.43,0.0,212.4,1,3,7.08,95.38,47.92,0.0,64.88,73.42,48.82,5,71.43,2,3799.0,4320.0
Colorado St.,Mountain West,Mid-Major,40.5706567,-105.0853995,Constitution Avenue,,113.7,0.083,17,0.3812,67.51,87,87,0.625,2025-26,2025-26-Colorado St.,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
UT Martin,OVC,Low-Major,36.3414523,-88.8642273,Hurt Street,,275.6,0.091,2,0.0422,21.26,205,205,0.6333333333333333,2025-26,2025-26-UT Martin,Low-Major,9.1,50.86,0.0,311.8,1,2,4.22,39.93,29.17,0.0,43.42,35.31,26.88,11,28.57,10,1605.0,2126.0
Xavier,Big East,Power,39.1513078,-84.4708348,Victory Parkway,,67.5,0.273,19,0.487,80.71,97,97,0.4545454545454545,2025-26,2025-26-Xavier,Power,27.3,97.14,2.18,66.5,3,19,48.7,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,5,25.0,8071.0
Omaha,Summit League,Low-Major,41.2577933,-96.0104971,University Drive North,,238.9,0.111,3,0.0786,31.74,258,258,0.4137931034482758,2025-26,2025-26-Omaha,Low-Major,11.1,70.57,0.0,238.6,1,3,7.86,66.41,70.83,0.0,77.07,81.54,53.49,4,78.57,6,2653.0,3174.0
Sacred Heart,MAAC,Low-Major,41.2225974,-73.2444673,5151,,262.2,0.077,3,0.075,25.09,293,293,0.40625,2025-26,2025-26-Sacred Heart,Low-Major,7.7,48.57,0.0,313.5,1,3,7.5,49.61,0.0,0.0,39.51,19.58,17.82,14,7.14,9,1988.0,2509.0
Coppin St.,MEAC,Low-Major,39.3110927,-76.6585289,Tioga Parkway,,330.9,0.125,5,0.1414,5.46,363,363,0.2,2025-26,2025-26-Coppin St.,Low-Major,12.5,42.0,0.0,273.1,1,5,14.14,0.0,100.0,0.0,28.29,59.25,40.66,6,64.29,15,25.0,546.0
UAB,American,Low-Major,33.5016153,-86.8060476,1720,,160.3,0.077,8,0.1528,54.2,118,118,0.6129032258064516,2025-26,2025-26-UAB,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
California Baptist,WAC,Low-Major,33.9283239,-117.4259206,8432,,181.4,0.143,2,0.045,48.17,98,98,0.7575757575757576,2025-26,2025-26-California Baptist,Mid-Major,14.3,75.71,0.0,164.1,1,2,4.5,52.57,86.75,0.0,56.31,72.0,52.14,4,50.0,2,1302.0,4817.0
New Mexico,Mountain West,Mid-Major,35.0866328,-106.6202094,Buena Vista Drive Northeast,,113.7,0.083,17,0.3812,67.51,46,46,0.6875,2025-26,2025-26-New Mexico,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
UC Irvine,Big West,Low-Major,33.6429469,-117.8401606,Irvine,,192.0,0.091,1,0.025,45.14,117,117,0.65625,2025-26,2025-26-UC Irvine,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
Saint Mary's (CA),WCC,Mid-Major,37.8409597,-122.109459,De La Salle Drive,,137.4,0.25,9,0.241,60.74,22,22,0.8387096774193549,2025-26,2025-26-Saint Mary's (CA),High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
Northeastern,CAA,Low-Major,42.3351053,-71.0892579,360,,192.4,0.077,3,0.0756,45.03,286,286,0.2258064516129032,2025-26,2025-26-Northeastern,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
Tulane,American,Low-Major,29.9412196,-90.1201009,6823,,160.3,0.077,8,0.1528,54.2,207,207,0.53125,2025-26,2025-26-Tulane,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Iowa St.,Big 12,Power,42.0279608,-93.6447375,Westwood Drive,,48.9,0.5,25,0.557,86.03,7,7,0.7941176470588235,2025-26,2025-26-Iowa St.,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Duke,ACC,Power,36.0001557,-78.9442297,Durham Freeway,,62.0,0.444,19,0.3154,82.29,1,1,0.9411764705882352,2025-26,2025-26-Duke,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Rider,MAAC,Low-Major,40.2815513,-74.7404467,Lawrence Road,,262.2,0.077,3,0.075,25.09,357,357,0.1071428571428571,2025-26,2025-26-Rider,Low-Major,7.7,48.57,0.0,313.5,1,3,7.5,49.61,0.0,0.0,39.51,19.58,17.82,14,7.14,9,1988.0,2509.0
