Tier_Label,Metric,Value
Top Seeds (1-16),Win %,78.8
Top Seeds (1-16),Road Win %,39.6
Top Seeds (1-16),Q1 Win %,43.5
Top Seeds (1-16),Conf Strength,76.5
Top Seeds (1-16),Strength of Schedule,91.6
Top Seeds (1-16),Avoid Bad Losses,94.3
Low Seeds (17-68),Win %,69.1
Low Seeds (17-68),Road Win %,47.9
Low Seeds (17-68),Q1 Win %,42.5
Low Seeds (17-68),Conf Strength,63.5
Low Seeds (17-68),Strength of Schedule,68.6
Low Seeds (17-68),Avoid Bad Losses,81.4
Non-Tournament,Win %,61.5
Non-Tournament,Road Win %,63.5
Non-Tournament,Q1 Win %,20.4
Non-Tournament,Conf Strength,53.6
Non-Tournament,Strength of Schedule,51.8
Non-Tournament,Avoid Bad Losses,65.2
