Team,Season,Conference,Conf_Type,NET_Rank,Overall_Seed,Bid_Type,Divergence,Highlighted,Label
Michigan St.,2020-21,Big Ten,Power,70,43,AL,-27,FALSE,
Colgate,2020-21,Patriot,Low-Major,9,57,AQ,48,TRUE,
Virginia,2020-21,ACC,Power,12,16,AL,4,FALSE,
Eastern Wash.,2020-21,Big Sky,Low-Major,114,58,AQ,-56,FALSE,
Georgia Tech,2020-21,ACC,Power,34,34,AQ,0,FALSE,
UConn,2020-21,Big East,Power,30,26,AL,-4,FALSE,
West Virginia,2020-21,Big 12,Power,24,10,AL,-14,FALSE,
Rutgers,2020-21,Big Ten,Power,38,40,AL,2,FALSE,
BYU,2020-21,WCC,High-Major,20,23,AL,3,FALSE,
North Carolina,2020-21,ACC,Power,32,31,AL,-1,FALSE,
Morehead St.,2020-21,OVC,Low-Major,121,56,AQ,-65,FALSE,
Ohio St.,2020-21,Big Ten,Power,8,6,AL,-2,FALSE,
Oregon St.,2020-21,Pac-12,Mid-Major,91,46,AQ,-45,FALSE,
Michigan,2020-21,Big Ten,Power,4,4,AL,0,FALSE,
Hartford,2020-21,America East,Low-Major,162,64,AQ,-98,FALSE,
Georgetown,2020-21,Big East,Power,64,47,AQ,-17,FALSE,
Creighton,2020-21,Big East,Power,26,17,AL,-9,FALSE,
Norfolk St.,2020-21,MEAC,Low-Major,170,67,AQ,-103,FALSE,
Houston,2020-21,The American,High-Major,5,8,AQ,3,FALSE,
Oral Roberts,2020-21,Summit League,Low-Major,158,61,AQ,-97,FALSE,
Villanova,2020-21,Big East,Power,17,18,AL,1,FALSE,
Oregon,2020-21,Pac-12,Mid-Major,33,25,AL,-8,FALSE,
Colorado,2020-21,Pac-12,Mid-Major,15,20,AL,5,FALSE,
Tennessee,2020-21,SEC,Power,13,19,AL,6,FALSE,
Oklahoma,2020-21,Big 12,Power,36,32,AL,-4,FALSE,
St. Bonaventure,2020-21,Atlantic 10,High-Major,23,37,AQ,14,FALSE,
Cleveland St.,2020-21,Horizon,Low-Major,160,60,AQ,-100,FALSE,
Iowa,2020-21,Big Ten,Power,6,7,AL,1,FALSE,
Texas,2020-21,Big 12,Power,21,11,AQ,-10,FALSE,
San Diego St.,2020-21,Mountain West,High-Major,18,24,AQ,6,FALSE,
Virginia Tech,2020-21,ACC,Power,48,38,AL,-10,FALSE,
App State,2020-21,Sun Belt,Mid-Major,210,68,AQ,-142,FALSE,
VCU,2020-21,Atlantic 10,High-Major,37,39,AL,2,FALSE,
Kansas,2020-21,Big 12,Power,11,12,AL,1,FALSE,
Illinois,2020-21,Big Ten,Power,3,3,AQ,0,FALSE,
Loyola Chicago,2020-21,MVC,Mid-Major,10,30,AQ,20,TRUE,
Wichita St.,2020-21,The American,High-Major,72,45,AL,-27,FALSE,
Texas Southern,2020-21,SWAC,Low-Major,208,66,AQ,-142,FALSE,
Florida St.,2020-21,ACC,Power,25,13,AL,-12,FALSE,
Maryland,2020-21,Big Ten,Power,35,36,AL,1,FALSE,
LSU,2020-21,SEC,Power,28,29,AL,1,FALSE,
North Texas,2020-21,CUSA,Mid-Major,59,52,AQ,-7,FALSE,
Utah St.,2020-21,Mountain West,High-Major,39,42,AL,3,FALSE,
Clemson,2020-21,ACC,Power,41,27,AL,-14,FALSE,
Alabama,2020-21,SEC,Power,7,5,AQ,-2,FALSE,
Gonzaga,2020-21,WCC,High-Major,1,1,AQ,0,FALSE,
Iona,2020-21,MAAC,Low-Major,138,62,AQ,-76,FALSE,
Drake,2020-21,MVC,Mid-Major,45,48,AL,3,FALSE,
Missouri,2020-21,SEC,Power,47,33,AL,-14,FALSE,
Florida,2020-21,SEC,Power,31,28,AL,-3,FALSE,
Texas,2021-22,Big 12,Power,16,23,AL,7,FALSE,
Longwood,2021-22,Big South,Low-Major,125,55,AQ,-70,FALSE,
Montana St.,2021-22,Big Sky,Low-Major,120,58,AQ,-62,FALSE,
Akron,2021-22,MAC,Mid-Major,127,54,AQ,-73,FALSE,
Michigan,2021-22,Big Ten,Power,34,42,AL,8,FALSE,
Ohio St.,2021-22,Big Ten,Power,26,28,AL,2,FALSE,
UCLA,2021-22,Pac-12,Mid-Major,10,13,AL,3,FALSE,
